loss,dimension_loss,orientation_loss,confidence_loss,dimension_mse,orientation_mse,confidence_accuracy,val_loss,val_dimension_loss,val_orientation_loss,val_confidence_loss,val_dimension_mse,val_orientation_mse,val_confidence_accuracy
1.1678391695022583,0.1802864968776703,0.11614187061786652,0.18438661098480225,0.1802864968776703,0.7446088194847107,0.7960278391838074,1.293765664100647,0.1962851583957672,0.14325501024723053,0.1949145793914795,0.1962851583957672,0.7411069869995117,0.7901041507720947
1.06995689868927,0.16333280503749847,0.10995583236217499,0.17671836912631989,0.16333280503749847,0.7451677918434143,0.8049699068069458,1.1938481330871582,0.17925971746444702,0.13585589826107025,0.18753181397914886,0.17925971746444702,0.7438139319419861,0.817187488079071
0.9939881563186646,0.14992651343345642,0.10675206035375595,0.16845473647117615,0.14992651343345642,0.74544757604599,0.8160768151283264,1.0638407468795776,0.1537608951330185,0.13584737479686737,0.18253035843372345,0.1537608951330185,0.7419588565826416,0.8130208253860474
0.9329490065574646,0.13939350843429565,0.10297105461359024,0.16305071115493774,0.13939350843429565,0.7458120584487915,0.8200300931930542,1.005794882774353,0.14470575749874115,0.13181167840957642,0.1690971702337265,0.14470575749874115,0.7413260340690613,0.8463541865348816
0.8766934275627136,0.12907274067401886,0.10234591364860535,0.15562200546264648,0.12907274067401886,0.745856523513794,0.8296310305595398,0.9237195253372192,0.1267944723367691,0.13493436574935913,0.1746913492679596,0.1267944723367691,0.7438375949859619,0.8291666507720947
0.8365695476531982,0.12340358644723892,0.09683481603860855,0.1485988348722458,0.12340358644723892,0.7463206648826599,0.8348079919815063,0.9347976446151733,0.13250544667243958,0.1276584267616272,0.16156534850597382,0.13250544667243958,0.7415056228637695,0.8520833253860474
0.8001552820205688,0.11779344826936722,0.09297636896371841,0.14344710111618042,0.11779344826936722,0.7466356754302979,0.8426204919815063,0.8374658823013306,0.11471971869468689,0.12368293106555939,0.15668590366840363,0.11471971869468689,0.7434770464897156,0.8489583134651184
0.7375234961509705,0.10657384246587753,0.09064708650112152,0.13736706972122192,0.10657384246587753,0.7468271255493164,0.8460090160369873,0.8365716338157654,0.11499547213315964,0.12334433943033218,0.15315574407577515,0.11499547213315964,0.7429723143577576,0.8572916388511658
0.702264666557312,0.10068601369857788,0.08841683715581894,0.13241834938526154,0.10068601369857788,0.7470845580101013,0.8538215160369873,0.8593462109565735,0.12132395058870316,0.11925166100263596,0.14769840240478516,0.12132395058870316,0.744533360004425,0.8609374761581421
0.6697418689727783,0.09557453542947769,0.08554960787296295,0.12708957493305206,0.09557453542947769,0.7473078966140747,0.8588102459907532,0.7187305092811584,0.09314773976802826,0.12065351754426956,0.144023135304451,0.09314773976802826,0.7429171204566956,0.8557291626930237
0.6334419250488281,0.08835306763648987,0.0865478515625,0.1237095296382904,0.08835306763648987,0.7472200393676758,0.8640813231468201,0.779406726360321,0.10671328008174896,0.11689179390668869,0.14100530743598938,0.10671328008174896,0.7442725300788879,0.859375
0.6138163805007935,0.08566804975271225,0.08365654200315475,0.11998270452022552,0.08566804975271225,0.7474998831748962,0.8673757314682007,0.6873425841331482,0.08917684853076935,0.11615502089262009,0.13445164263248444,0.08917684853076935,0.7432870864868164,0.878125011920929
0.5816624760627747,0.08057565987110138,0.08059967309236526,0.11576909571886063,0.08057565987110138,0.7477313876152039,0.8717055916786194,0.7425625920295715,0.10031510889530182,0.11524441838264465,0.13624051213264465,0.10031510889530182,0.744999885559082,0.8682291507720947
0.5483360886573792,0.07501878589391708,0.07816553115844727,0.11198783665895462,0.07501878589391708,0.7479916214942932,0.8739646077156067,0.6330568790435791,0.07942285388708115,0.1141192615032196,0.12952740490436554,0.07942285388708115,0.7438569068908691,0.8755208253860474
0.5243457555770874,0.07118721306324005,0.07610249519348145,0.10851124674081802,0.07118721306324005,0.748141884803772,0.8764119148254395,0.7291436791419983,0.0990382507443428,0.11251690983772278,0.1303541362285614,0.0990382507443428,0.744326114654541,0.8697916865348816
0.5090514421463013,0.06870069354772568,0.07524403929710388,0.10536390542984009,0.06870069354772568,0.7482015490531921,0.8838478922843933,0.6654767990112305,0.08673913776874542,0.1112765297293663,0.12973283231258392,0.08673913776874542,0.7447315454483032,0.8734375238418579
0.4853096604347229,0.06460350006818771,0.07371474802494049,0.10343996435403824,0.06460350006818771,0.748343825340271,0.8864834308624268,0.6241664290428162,0.07831677049398422,0.1127885952591896,0.12679947912693024,0.07831677049398422,0.744380533695221,0.8776041865348816
0.4744082987308502,0.06283951550722122,0.07428401708602905,0.09756946563720703,0.06283951550722122,0.7482953071594238,0.8964608311653137,0.6100465655326843,0.07702219486236572,0.10958264768123627,0.12112341076135635,0.07702219486236572,0.7443978786468506,0.8812500238418579
0.4597451686859131,0.060921572148799896,0.0719389021396637,0.09445804357528687,0.060921572148799896,0.7485150694847107,0.8950489163398743,0.6208231449127197,0.0782197043299675,0.11362145841121674,0.11858467012643814,0.0782197043299675,0.7445604801177979,0.8817708492279053
0.4347907304763794,0.05661730468273163,0.06962484121322632,0.09453403204679489,0.05661730468273163,0.7487318515777588,0.8944841623306274,0.6076080799102783,0.07754617184400558,0.1082271859049797,0.11507268995046616,0.07754617184400558,0.7446407079696655,0.8854166865348816
